gene,medium,gr_loglin,gr_loglin_se,gr_max_sliding,t_exp_start,t_exp_end,doubling_time,R_squared,lag_loglin,N_max_emp,converged
yaiS,LB,0.7786837297647896,0.04517637084656057,1.3051205178956755,1.75,6.0,0.8901523867325678,0.9488977660747451,0.1621165194510684,1.0999133333333333,True
yagQ,LB,1.1294054358096877,0.04601417640534753,1.5132194766658353,2.25,6.5,0.6137275052718493,0.9741286055053117,1.8425839799022505,1.06479,True
hcaE,LB,0.6863434207033094,0.039966445766416836,1.2096540103681463,1.75,6.0,1.009913054677007,0.9485384313232519,0.11206416109300006,1.12981,True
murP,LB,0.7141255549091854,0.040881837894667775,1.250772378811941,1.75,6.0,0.9706236890627616,0.950176313621047,-0.09657047200282791,1.13679,True
yaiB,LB,0.5607646874774372,0.030113627932214764,0.8185408215370562,1.75,5.25,1.2360749455855038,0.9638652927793974,0.693547537660972,1.143433333333333,True
yccF,LB,0.553801484476953,0.022905668285483457,0.803314355315004,1.75,5.75,1.251616689353225,0.9749812714292609,0.3905137491129094,1.1558066666666666,True
yjbL,LB,0.9663450503920245,0.04431856601849731,1.3519558274156251,1.75,5.75,0.7172874536675601,0.9694150371286419,1.0149248605865961,1.0706499999999999,True
ydfT,LB,0.6354993140775212,0.043782501062986104,1.257483979305376,1.75,5.5,1.0907127123592644,0.9376899286395006,-0.58490715325112,0.95902,True
yqiK,LB,0.7686170352371658,0.052311440742111304,1.2609303777851304,1.75,6.0,0.9018108482933462,0.9310008987008632,0.5443328598158416,1.1496,True
ykfI,LB,0.8765851586703609,0.034485151162856637,1.201356205755311,4.25,8.75,0.790735701721597,0.9743642341267927,3.7412054330626834,1.1290866666666668,True
ygbK,LB,0.8306436524743507,0.035405454181077656,1.1328676030654303,4.0,8.5,0.8344699661463421,0.9700394918339185,3.524548665699874,1.06703,True
pgm,LB,0.8311875401579939,0.03219613935667207,1.0851102962424446,2.75,6.75,0.8339239306067923,0.9779892476511112,2.3138563445846976,1.0515033333333332,True
yfeT,LB,0.9149959978615884,0.036578795172014685,1.2255136008408245,2.5,7.0,0.7575412156773147,0.9735498867269994,1.9159727392380796,1.1223999999999998,True
ybaV,LB,0.7555069826936996,0.028848499034648315,1.026500470833879,1.75,5.75,0.9174596614429485,0.9785974838833941,0.9967382938249061,0.7891133333333332,True
ycjG,LB,0.9812726143910081,0.03416821280405144,1.2868398501867782,2.0,6.5,0.7063757516458588,0.9798045496392328,1.6262393735795144,1.09496,True
yebE,LB,0.7417274640904269,0.028325989455856848,1.0244074421435514,2.0,6.5,0.9345038631001009,0.9758067508493115,1.6109993978129293,1.1457933333333332,True
yhfS,LB,0.5587675057907248,0.029487749456005175,0.9366288230366133,1.75,5.75,1.2404930017880276,0.9599005451749181,0.05704708280838678,0.7163333333333334,True
